Proposal_Number,Grant_Number,Field_of_Science,Field_of_Science_Division,Field_of_Science_Directorate,Project_Type,Transaction_Type,Start_Date,End_Date
CHE120039,CHE120039,Chemistry,Chemistry,Mathematical and Physical Sciences,Campus Champions,renewal,5/30/2014,5/29/2015
CHE120039,CHE120039,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,6/4/2015,6/3/2016
MCB160022,MCB160022,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,2/17/2016,2/16/2017
CHE120039,CHE120039,Chemistry,Chemistry,Mathematical and Physical Sciences,Campus Champions,renewal,6/4/2016,6/3/2017
CHE120039,CHE120039,Chemistry,Chemistry,Mathematical and Physical Sciences,Campus Champions,renewal,3/25/2016,3/24/2017
CHE120039,CHE120039,Chemistry,Chemistry,Mathematical and Physical Sciences,Campus Champions,renewal,10/16/2017,10/15/2018
CHE120039,CHE120039,Chemistry,Chemistry,Mathematical and Physical Sciences,Campus Champions,renewal,10/17/2018,10/16/2019
PHY140002,PHY140002,"Atomic, Molecular, and Optical Physics",Physics,Mathematical and Physical Sciences,Startup,new,10/12/2013,10/11/2014
CHE140095,CHE140095,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,new,6/21/2014,6/20/2015
CHE140095,CHE140095,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,renewal,7/2/2015,7/1/2016
CHE140095,CHE140095,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,renewal,6/17/2016,6/16/2017
CHE140095,CHE140095,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,renewal,7/2/2016,7/1/2017
CHE140095,CHE140095,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,renewal,6/22/2017,6/21/2018
CHE140095,CHE140095,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,renewal,7/2/2017,7/1/2018
CHE140095,CHE140095,Chemistry,Chemistry,Mathematical and Physical Sciences,Educational,renewal,7/30/2018,7/29/2019
MCA94P014,MCA94P014,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,3/30/2004,3/31/2005
MCA94P014,MCA94P014,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2005,3/31/2006
OCE050004,OCE060000T,Ocean Sciences,Ocean Sciences,Geosciences,,new,10/4/2005,10/31/2006
MCA94P014,MCA94T014,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,4/1/2005,3/31/2006
IBN060001,IBN060000T,Integrative Biology and Neuroscience,Integrative Biology and Neuroscience,Biological Sciences,,new,10/11/2005,10/31/2006
MCA94P014,MCA94T014,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2006,3/31/2007
MCA94P014,MCA94P014,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2006,3/31/2007
MCA06N007,MCA06T007,Ocean Sciences,Ocean Sciences,Geosciences,,new,4/1/2006,3/31/2007
MCB060103,MCB060089N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,10/1/2006,9/30/2007
MCB060103,MCB060090N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,10/1/2006,9/30/2007
MCB060121,MCB060088T,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,9/13/2006,9/30/2007
ASC070002,ASC070000T,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,10/24/2006,10/31/2007
MCB050065,MCB070013N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,renewal,1/1/2007,12/31/2007
MCB050065,MCB050050S,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,renewal,1/1/2007,12/31/2007
MCA94P014,MCA94T014,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2007,3/31/2008
MCA94P014,MCA94P014,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2007,3/31/2008
MCA06N007,MCA06T007,Ocean Sciences,Ocean Sciences,Geosciences,,renewal,4/1/2007,3/31/2008
ECD070001,ECD070001S,Engineering Centers,Engineering Centers,Engineering,,new,1/1/2007,12/31/2007
OCE070005,OCE070002T,Ocean Sciences,Ocean Sciences,Geosciences,,new,5/8/2007,4/30/2008
OCE070001,OCE070004N,Ocean Sciences,Ocean Sciences,Geosciences,,new,12/1/2006,11/30/2007
CHE070070,CHE070064T,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,6/5/2007,5/31/2008
CTS070058,CTS070056T,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,6/19/2007,6/30/2008
PHY070019,PHY070023N,Physics,Physics,Mathematical and Physical Sciences,,new,7/17/2007,8/1/2008
MCB070108,MCB070104N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,new,8/29/2007,8/30/2008
ECS070010,ECS070010N,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,,new,8/30/2007,9/1/2008
OCE070010,OCE080000N,Ocean Sciences,Ocean Sciences,Geosciences,,new,10/5/2007,10/1/2008
CTS080001,CTS080003N,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,,new,10/18/2007,12/31/2008
OCE080002,OCE080004N,Ocean Sciences,Ocean Sciences,Geosciences,,new,12/21/2007,12/31/2008
DMR080016,DMR080018N,Materials Research,Materials Research,Mathematical and Physical Sciences,,new,12/18/2007,12/31/2008
MCB060103,MCB060089N,Molecular Biosciences,Molecular Biosciences,Biological Sciences,,renewal,1/1/2008,12/31/2008
PHY080023,PHY080025N,Physics,Physics,Mathematical and Physical Sciences,,new,2/12/2008,2/1/2009
MCA94P014,MCA94P014,Materials Research,Materials Research,Mathematical and Physical Sciences,,renewal,4/1/2008,3/31/2009
ECS080005,ECS080004T,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,,new,3/20/2008,3/31/2009
CHE080030,CHE080045N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,4/1/2008,3/31/2009
CHE080031,CHE080047N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,4/1/2008,3/31/2009
IBN080010,IBN080010N,Integrative Biology and Neuroscience,Integrative Biology and Neuroscience,Biological Sciences,,new,4/15/2008,4/30/2009
OCE070001,OCE070004N,Ocean Sciences,Ocean Sciences,Geosciences,,renewal,5/28/2008,5/31/2009
MCA08X038,DMR090027,Materials Research,Materials Research,Mathematical and Physical Sciences,LRAC,new,10/1/2008,9/30/2009
MSS080030,MSS090007,Mechanics and Materials,Mechanical and Structural Systems,Engineering,MRAC,new,10/1/2008,9/30/2009
ECS080008,ECS090001,Solid-State and Microstructures,Electrical and Communication Systems,Engineering,DAC-Kraken,new,10/2/2008,10/2/2009
MCB080136,MCB090036,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,DAC-TG,new,10/3/2008,10/3/2009
ECS090010,ECS090010,Solid-State and Microstructures,Electrical and Communication Systems,Engineering,MRAC,new,1/1/2009,12/31/2009
EAR090035,EAR090035,Geophysics,Earth Sciences,Geosciences,Startup,new,2/14/2009,2/14/2010
DMR090082,DMR090082,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,2/14/2009,2/14/2010
MCA94P014,MCA94P014,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,renewal,4/1/2009,3/31/2010
EAR090030,EAR090030,Seismology,Earth Sciences,Geosciences,TRAC,new,4/1/2009,3/31/2010
CTS090089,CTS090089,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,6/3/2009,6/3/2010
ASC090058,ASC090058,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,TRAC,new,7/1/2009,6/30/2010
ASC080001,ASC080034N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,TRAC,renewal,7/1/2009,6/30/2010
MCB090133,MCB090133,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,TRAC,new,7/1/2009,6/30/2010
DMR090107,DMR090107T,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,6/19/2009,6/19/2010
DMR090127,DMR090127,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,Startup,new,7/25/2009,7/25/2010
MCB090180,MCB090180,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,8/1/2009,8/1/2010
CHE090136,CHE090136,Analytical and Surface Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,9/10/2009,9/10/2010
DMR090139,DMR090139,Solid State Chemistry and Polymers,Materials Research,Mathematical and Physical Sciences,Startup,new,9/11/2009,9/11/2010
ASC090089,ASC090089,"Visualization, Graphics, and Image Processing",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,9/24/2009,9/24/2010
MCB100023,MCB100023,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,11/7/2009,11/7/2010
MCB100026,MCB100026,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,11/25/2009,11/25/2010
MCB100030,MCB100030,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,12/2/2009,12/2/2010
CHE100012,CHE100012,Chemistry,Chemistry,Mathematical and Physical Sciences,TRAC,new,1/1/2010,12/31/2010
MSS080030,MSS090007,Mechanics and Materials,Mechanical and Structural Systems,Engineering,TRAC,renewal,1/1/2010,12/31/2010
MCA08X038,DMR090027,Physics,Physics,Mathematical and Physical Sciences,TRAC,renewal,1/1/2010,12/31/2010
CTS100019,CTS100019,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Startup,new,1/16/2010,1/16/2011
MCB100077,MCB100077,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,2/6/2010,2/6/2011
CTS100033,CTS100033,Chemical and Reaction Processes,"Chemical, Thermal Systems",Engineering,Startup,new,2/27/2010,2/27/2011
CTS100036,CTS100036,Thermal Systems,"Chemical, Thermal Systems",Engineering,Startup,new,2/27/2010,2/27/2011
MCB100085,MCB100085,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,3/2/2010,3/2/2011
ASC100016,ASC100016,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,3/5/2010,3/5/2011
MCB100058,MCB100058,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,new,4/1/2010,3/31/2011
MCA94P014,MCA94P014,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,renewal,4/1/2010,3/31/2011
MCB100051,MCB100051,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,new,4/1/2010,3/31/2011
DMR100028,DMR100028,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,renewal,4/1/2010,3/31/2011
CHE100079,CHE100079,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,5/11/2010,5/11/2011
PHY100046,PHY100046,"Atomic, Molecular, and Optical Physics",Physics,Mathematical and Physical Sciences,Startup,new,6/18/2010,6/18/2011
ASC080001,ASC080034N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,TRAC,renewal,7/1/2010,6/30/2011
NCR100001,NCR100001,Networking and Communications Research,Networking and Communications Research,Computer and Information Science and Engineering,Startup,new,7/13/2010,7/13/2011
DMR100098,DMR100098,"Metals, Ceramics, and Electronic Materials",Materials Research,Mathematical and Physical Sciences,Startup,new,7/27/2010,7/27/2011
DMR100109,DMR100109,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,8/26/2010,8/26/2011
ASC090058,ASC090058,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,renewal,10/1/2010,9/30/2011
DMS100033,DMS100033,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,9/22/2010,9/22/2011
OCE100020,OCE100020,Physical Oceanography,Ocean Sciences,Geosciences,Startup,new,10/5/2010,10/5/2011
DPP100002,DPP100002,Polar Ocean and Climate Systems,Polar Programs,Geosciences,Startup,new,10/9/2010,10/9/2011
DMR110002,DMR110002,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,10/12/2010,10/12/2011
DPP100002,DPP100002,Polar Ocean and Climate Systems,Polar Programs,Geosciences,Startup,new,10/14/2010,10/14/2011
CTS110017,CTS110017,Thermal Systems,"Chemical, Thermal Systems",Engineering,Startup,new,11/17/2010,11/17/2011
MCB110038,MCB110038,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,12/14/2010,12/14/2011
DMR110004,DMR110004,"Metals, Ceramics, and Electronic Materials",Materials Research,Mathematical and Physical Sciences,TRAC,renewal,1/1/2011,12/31/2011
MCA08X038,DMR090027,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,renewal,1/1/2011,12/31/2011
OCE110005,OCE110005,Ocean Sciences,Ocean Sciences,Geosciences,Startup,new,1/8/2011,1/8/2012
DMR110031,DMR110031,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,2/4/2011,2/4/2012
DMS110018,DMS110018,Computational Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Startup,new,2/10/2011,2/10/2012
DMR110032,DMR110032,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,Startup,new,2/10/2011,2/10/2012
MCB110070,MCB110070,Molecular Biosciences,Molecular Biosciences,Biological Sciences,Startup,new,2/15/2011,2/15/2012
AST110019,AST110019,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,2/17/2011,2/17/2012
MCB100085,MCB100085,Biophysics,Molecular Biosciences,Biological Sciences,Startup,renewal,3/3/2011,3/3/2012
DMR110027,DMR110027,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,new,4/1/2011,3/31/2012
CHE110040,CHE110040,"Inorganic, Bioinorganic, and Organometallic Chemistry",Chemistry,Mathematical and Physical Sciences,TRAC,new,4/1/2011,3/31/2012
ASC090089,ASC090089,Solid-State and Microstructures,Electrical and Communication Systems,Engineering,Startup,renewal,3/25/2011,3/25/2012
MCA94P014,MCA94P014,Materials Research,Materials Research,Mathematical and Physical Sciences,TRAC,renewal,4/1/2011,3/31/2012
MSS110027,MSS110027,Mechanics and Materials,Mechanical and Structural Systems,Engineering,Startup,new,4/30/2011,4/30/2012
IRI110006,IRI110006,Knowledge Models and Cognitive Systems,"Information, Robotics, and Intelligent Systems",Computer and Information Science and Engineering,Startup,new,5/7/2011,5/7/2012
MCB100058,MCB100058,Biophysics,Molecular Biosciences,Biological Sciences,TRAC,renewal,7/1/2011,6/30/2012
AST110038,AST110038,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,TRAC,new,7/1/2011,6/30/2012
DMS100033,DMS100033,Mathematical Sciences,Mathematical Sciences,Mathematical and Physical Sciences,Startup,renewal,9/23/2011,9/23/2012
ASC090058,ASC090058,"Metals, Ceramics, and Electronic Materials",Materials Research,Mathematical and Physical Sciences,XRAC,renewal,10/1/2011,9/30/2012
DMR110092,DMR110092,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,XRAC,new,10/1/2011,9/30/2012
MCA08X038,DMR090027,Materials Research,Materials Research,Mathematical and Physical Sciences,XRAC,renewal,1/1/2012,12/31/2012
DMR120003,DMR120003,Materials Research,Materials Research,Mathematical and Physical Sciences,XRAC,new,1/1/2012,12/31/2012
DMR120004,DMR120004,Materials Research,Materials Research,Mathematical and Physical Sciences,XRAC,new,1/1/2012,12/31/2012
CHE120017,CHE120017,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,1/7/2012,1/7/2013
MIP120002,MIP120002,Circuits and Signal Processing,Microelectronic Information Processing Systems,Computer and Information Science and Engineering,Startup,new,1/21/2012,1/21/2013
ASC120011,ASC120011,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,1/31/2012,1/31/2013
DMR120035,DMR120035,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,3/14/2012,3/14/2013
MCA94P014,MCA94P014,Solid-State and Microstructures,Electrical and Communication Systems,Engineering,XRAC,renewal,4/1/2012,3/31/2013
AST120022,AST120022,Galactic Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,4/1/2012,3/31/2013
DMR120025,DMR120025,Materials Research,Materials Research,Mathematical and Physical Sciences,XRAC,new,4/1/2012,3/31/2013
